Participant,Effort_AH,Effort_AO,Effort_HO,Effort_NC,Frustration_AH,Frustration_AO,Frustration_HO,Frustration_NC,Mental Demand_AH,Mental Demand_AO,Mental Demand_HO,Mental Demand_NC,Performance_AH,Performance_AO,Performance_HO,Performance_NC,Physical Demand_AH,Physical Demand_AO,Physical Demand_HO,Physical Demand_NC,Raw Score_AH,Raw Score_AO,Raw Score_HO,Raw Score_NC,Temporal Demand_AH,Temporal Demand_AO,Temporal Demand_HO,Temporal Demand_NC
1,50.0,30.0,30.0,70.0,80.0,45.0,45.0,80.0,20.0,10.0,10.0,20.0,60.0,20.0,20.0,30.0,20.0,20.0,20.0,20.0,43.33,25.83,25.83,41.67,30.0,30.0,30.0,30.0
2,70.0,95.0,100.0,70.0,60.0,80.0,90.0,60.0,60.0,75.0,80.0,60.0,60.0,35.0,55.0,60.0,45.0,40.0,65.0,45.0,53.33,63.33,68.33,50.83,25.0,55.0,20.0,10.0
3,40.0,20.0,20.0,20.0,60.0,25.0,30.0,20.0,20.0,20.0,20.0,20.0,10.0,15.0,10.0,10.0,30.0,20.0,20.0,20.0,28.33,20.0,20.0,18.33,10.0,20.0,20.0,20.0
4,60.0,35.0,50.0,20.0,80.0,20.0,20.0,20.0,80.0,50.0,75.0,55.0,60.0,35.0,50.0,20.0,80.0,55.0,80.0,65.0,73.33,41.67,60.0,40.83,80.0,55.0,85.0,65.0
5,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,80.0,80.0,90.0,80.0,20.0,10.0,20.0,10.0,80.0,80.0,90.0,80.0,46.67,45.0,51.67,41.67,60.0,80.0,70.0,60.0
6,30.0,55.0,40.0,20.0,85.0,85.0,80.0,50.0,15.0,15.0,25.0,0.0,0.0,20.0,5.0,0.0,10.0,20.0,15.0,5.0,33.33,40.83,35.83,17.5,60.0,50.0,50.0,30.0
7,10.0,10.0,10.0,10.0,15.0,30.0,40.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,16.67,19.17,13.33,5.0,20.0,25.0,15.0
8,60.0,70.0,70.0,70.0,80.0,70.0,70.0,70.0,70.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,60.0,70.0,70.0,70.0,63.33,71.67,71.67,71.67,40.0,70.0,70.0,70.0
9,80.0,75.0,75.0,60.0,20.0,35.0,45.0,40.0,30.0,30.0,50.0,20.0,75.0,80.0,85.0,60.0,30.0,30.0,30.0,40.0,44.17,46.67,54.17,43.33,30.0,30.0,40.0,40.0
10,45.0,50.0,50.0,20.0,25.0,100.0,60.0,15.0,20.0,10.0,25.0,10.0,10.0,30.0,15.0,10.0,15.0,15.0,20.0,15.0,21.67,39.17,31.67,13.33,15.0,30.0,20.0,10.0
11,25.0,25.0,35.0,50.0,10.0,10.0,10.0,0.0,5.0,5.0,10.0,5.0,30.0,30.0,40.0,65.0,15.0,15.0,10.0,15.0,15.0,15.0,18.33,23.33,5.0,5.0,5.0,5.0
12,0.0,0.0,0.0,0.0,100.0,20.0,100.0,50.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,33.33,20.0,33.33,25.0,0.0,0.0,0.0,0.0
13,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,6.67,6.67,6.67,6.67,0.0,0.0,0.0,0.0
16,40.0,60.0,80.0,85.0,0.0,0.0,0.0,20.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,20.0,25.0,0.0,20.0,0.0,19.17,26.67,33.33,37.5,0.0,50.0,50.0,50.0
17,5.0,5.0,5.0,5.0,0.0,60.0,30.0,0.0,25.0,15.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,55.0,55.0,30.0,8.33,22.5,18.33,9.17,0.0,0.0,0.0,0.0
18,80.0,40.0,20.0,60.0,60.0,40.0,20.0,60.0,80.0,40.0,20.0,80.0,40.0,40.0,20.0,60.0,20.0,0.0,0.0,20.0,53.33,30.0,16.67,50.0,40.0,20.0,20.0,20.0
19,65.0,65.0,65.0,65.0,70.0,50.0,70.0,5.0,50.0,50.0,50.0,50.0,25.0,15.0,15.0,40.0,65.0,65.0,65.0,65.0,50.83,47.5,50.83,42.5,30.0,40.0,40.0,30.0
20,30.0,30.0,40.0,30.0,75.0,95.0,95.0,65.0,40.0,50.0,70.0,40.0,35.0,35.0,25.0,30.0,30.0,45.0,55.0,40.0,40.0,44.17,49.17,36.67,30.0,10.0,10.0,15.0
