timestamp,phase,speed_kmh,event,elapsed_seconds,datetime,seconds_only,Violation,Coordinates
0.0,1,0.0,PHASE_START,0.0,1970-01-01 00:00:00.000000000,0,Baseline,
46.440000057,1,20.46,RED_LIGHT_VIOLATION,46.440000057,1970-01-01 00:00:46.440000057,46,TrafficLight Violation ,"(x=-58.396709, y=-1.977270, z=0.001787)"
68.920000076,1,42.72,SPEED_VIOLATION,68.920000076,1970-01-01 00:01:08.920000076,8,Speed 42.72 km/h > limit 30.00 km/h ,"(x=-86.167862, y=68.519760, z=0.833062)"
72.110000133,1,20.53,YELLOW_LIGHT_PASS,72.110000133,1970-01-01 00:01:12.110000133,12,Passed yellow ,"(x=-86.318329, y=113.893402, z=0.147602)"
82.490000009,1,25.65,RED_LIGHT_VIOLATION,82.490000009,1970-01-01 00:01:22.490000009,22,TrafficLight Violation ,"(x=-22.873449, y=135.096573, z=0.001772)"
94.25,1,55.5,SPEED_VIOLATION,94.25,1970-01-01 00:01:34.250000000,34,Speed 55.50 km/h > limit 30.00 km/h ,"(x=-4.031522, y=134.934219, z=0.001759)"
102.400000095,1,37.02,SPEED_VIOLATION,102.400000095,1970-01-01 00:01:42.400000095,42,Speed 37.02 km/h > limit 30.00 km/h ,"(x=166.723434, y=110.157837, z=0.349789)"
119.039999962,1,8.04,RED_LIGHT_VIOLATION,119.039999962,1970-01-01 00:01:59.039999962,59,TrafficLight Violation ,"(x=212.470490, y=63.404209, z=0.001131)"
166.240000009,1,56.42,SPEED_VIOLATION,166.240000009,1970-01-01 00:02:46.240000009,46,Speed 56.42 km/h > limit 30.00 km/h ,"(x=46.086586, y=193.370529, z=0.145210)"
176.700000047,1,24.62,YELLOW_LIGHT_PASS,176.700000047,1970-01-01 00:02:56.700000047,56,Passed yellow ,"(x=-79.315140, y=152.691589, z=0.001994)"
195.730000019,1,37.01,SPEED_VIOLATION,195.730000019,1970-01-01 00:03:15.730000019,15,Speed 37.01 km/h > limit 30.00 km/h ,"(x=-144.231354, y=79.381752, z=0.001832)"
210.370000124,1,42.04,SPEED_VIOLATION,210.370000124,1970-01-01 00:03:30.370000124,30,Speed 42.04 km/h > limit 30.00 km/h ,"(x=-144.223495, y=78.348999, z=0.001830)"
